,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,df,parallel,type,in_service,coords
77,43956914,,109,288,0.143,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554185.906, 145627.137), (554295.892, 145597.113)]"
78,52105806,,466,434,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554286.0, 145634.0), (554283.857364, 145627.887761)]"
79,159486584,,132,235,0.02,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554405.916503, 146122.764795), (554400.190217, 146126.835475)]"
80,158564132,,483,486,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554410.0, 146119.0), (554410.0, 146119.0)]"
81,88878704,,278,470,0.064,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554391.0270189999, 146132.924597), (554366.090457, 146119.143392)]"
82,43959725,,180,234,0.18,0.156,0.108,0.03379085840592258,0.414,1.0,1,cs,True,"[(554277.224406, 145837.926629), (554225.307489, 145797.12040699998)]"
83,52035909,,124,234,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554225.0, 145790.0), (554225.307489, 145797.12040699998)]"
84,52127918,,449,259,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554162.0, 145820.0), (554163.679457, 145813.998123)]"
85,52127908,,464,271,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554162.0, 145820.0), (554169.2441560001, 145820.379015)]"
86,43959750,,76,425,0.281,0.156,0.108,0.03379085840592258,0.414,1.0,1,cs,True,"[(554362.9529329999, 146121.624022), (554460.792053, 146270.070477)]"
87,52226912,,162,425,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554462.0, 146263.0), (554460.792053, 146270.070477)]"
88,52815056,,419,231,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554179.0, 145632.0), (554179.0, 145632.0)]"
89,159486608,,235,210,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554400.190217, 146126.835475), (554395.0, 146129.0)]"
90,52045559,,303,75,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554206.0, 145710.0), (554200.070867, 145708.703798)]"
91,52045569,,233,240,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554206.0, 145710.0), (554201.727501, 145716.066779)]"
92,43967313,,259,240,0.158,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554163.679457, 145813.998123), (554201.727501, 145716.066779)]"
93,43958150,,167,100,0.046,0.156,0.113,0.03128783185733572,0.414,1.0,1,cs,True,"[(554292.483192, 145630.192411), (554304.652, 145596.864)]"
94,88878708,,87,76,0.064,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554393.103967, 146135.927777), (554362.9529329999, 146121.624022)]"
95,44000480,,100,406,0.186,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554304.652, 145596.864), (554159.1, 145666.059)]"
96,43967312,,75,406,0.118,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554200.070867, 145708.703798), (554159.1, 145666.059)]"
97,159486513,,486,132,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554410.0, 146119.0), (554405.916503, 146122.764795)]"
98,44001270,,434,255,0.044,0.156,0.113,0.03128783185733572,0.414,1.0,1,cs,True,"[(554283.857364, 145627.887761), (554294.937, 145599.424)]"
99,43959731,,271,318,0.004,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554169.2441560001, 145820.379015), (554171.584, 145820.24800000002)]"
