,name,bus,p_kw,q_kvar,const_z_percent,const_i_percent,sn_kva,scaling,in_service,type
54,load 42784577,1437,1.4760524766540521,0.48515498748608193,0.0,0.0,,1.0,True,
55,load 42793444,866,6.405469369684767,2.105375968025455,0.0,0.0,,1.0,True,
56,load 42768299,1720,5.538941944156642,1.820562176552799,0.0,0.0,,1.0,True,
57,load 42768223,606,3.3831282780738365,1.1119804907840074,0.0,0.0,,1.0,True,
58,load 42816058,1458,3.5427735539345364,1.1644533554263141,0.0,0.0,,1.0,True,
59,load 42819953,767,6.352160519945874,2.087854196450912,0.0,0.0,,1.0,True,
60,load 183882638,636,2.465905523558802,0.810503950466541,0.0,0.0,,1.0,True,
61,load 42768915,926,1.829183188279455,0.6012234394478527,0.0,0.0,,1.0,True,
62,load 42778475,1233,2.2744522199396977,0.7475762926829586,0.0,0.0,,1.0,True,
63,load 42852175,914,2.715481107094035,0.8925354778153116,0.0,0.0,,1.0,True,
64,load 42767097,1407,3.1335795519094973,1.0299577910261561,0.0,0.0,,1.0,True,
65,load 42775194,832,4.365194427079277,1.4347700241963126,0.0,0.0,,1.0,True,
66,load 186592607,756,2.912657811155369,0.9573443263518289,0.0,0.0,,1.0,True,
67,load 42857661,1305,4.915281677822938,1.6155749599772935,0.0,0.0,,1.0,True,
68,load 42751425,670,2.1327734687687214,0.7010087391314674,0.0,0.0,,1.0,True,
69,load 42741062,1133,5.530629499834202,1.8178300082288283,0.0,0.0,,1.0,True,
70,load 42766166,1221,3.9985571608256043,1.3142621824124994,0.0,0.0,,1.0,True,
71,load 42762753,1565,3.24420936703282,1.0663200528160688,0.0,0.0,,1.0,True,
72,load 42782783,1704,0.877025016965557,0.2882641829208014,0.0,0.0,,1.0,True,
73,load 42717010,758,4.927495254378337,1.6195893684584384,0.0,0.0,,1.0,True,
74,load 42761423,1406,0.9316186837929958,0.3062082534504112,0.0,0.0,,1.0,True,
75,load 42751379,1751,3.6256428956176654,1.191691190844195,0.0,0.0,,1.0,True,
76,load 42855133,757,4.951077223750439,1.6273403869598633,0.0,0.0,,1.0,True,
77,load 42790218,598,4.162559695159918,1.3681672086572394,0.0,0.0,,1.0,True,
78,load 42726127,1145,1.6866243556879792,0.5543666171221802,0.0,0.0,,1.0,True,
79,load 42713891,1041,3.733215705943876,1.227048663747841,0.0,0.0,,1.0,True,
80,load 42793051,1509,2.5944624585663614,0.8527585716140379,0.0,0.0,,1.0,True,
81,load 42784573,1752,3.92428262707031,1.2898493237475634,0.0,0.0,,1.0,True,
82,load 42779307,805,1.3628569632356393,0.447949421447889,0.0,0.0,,1.0,True,
83,load 42763533,1469,7.082280831986446,2.3278331378868797,0.0,0.0,,1.0,True,
84,load 42788586,1341,8.695111065665833,2.8579448000492063,0.0,0.0,,1.0,True,
85,load 42840892,1312,5.609259212777053,1.84367434506792,0.0,0.0,,1.0,True,
86,load 42734829,649,4.5030439166855905,1.4800789603369267,0.0,0.0,,1.0,True,
87,load 152494061,761,5.926296503900316,1.9478794634091008,0.0,0.0,,1.0,True,
88,load 148905331,1054,6.100934822788193,2.0052803029827033,0.0,0.0,,1.0,True,
89,load 106168740,1297,1.7774179102488892,0.5842090153590411,0.0,0.0,,1.0,True,
90,load 148905531,1272,0.4788344495854732,0.15738527259081475,0.0,0.0,,1.0,True,
91,load 148908923,1714,7.70343251289806,2.5319958223076604,0.0,0.0,,1.0,True,
92,load 42834785,736,1.5441712081313175,0.5075445317876062,0.0,0.0,,1.0,True,
93,load 42763210,547,6.809923353352145,2.2383135637331932,0.0,0.0,,1.0,True,
