,bus,element,et,type,closed,SectionID,FromNodeID,ToNodeID,ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,RatedLevel,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Manufacturer,Standard,CableType,NumberOfGroundingConductors,ArmorOuterDiameter,OverallDiameter,ConcentricNeutralBeforeSheath,UserDefinedImpedances,Frequency,Temperature,ImpedancesNote,Favorite,Flags,Comments,Length
74,424,213,b,,True,42601681,42948114,52818648,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
75,309,119,b,,True,42546414,42891790,173092837,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
76,2523,2516,b,,True,42613837,42951842,42951839,B-BT-2X240,0.1,0.0,0.1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,2,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
77,3035,2424,b,,True,214551748,214550146,214550791,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
78,426,257,b,,True,42594771,42937052,42937051,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
79,262,106,b,,True,42551422,42876389,52114138,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
80,123,485,b,,True,42613832,42951836,42951834,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
81,195,337,b,,True,42586317,42880400,42974432,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
82,2041,2514,b,,True,175588323,175587451,175587519,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
83,122,304,b,,True,42539717,42968944,42969893,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
84,126,412,b,,True,42546243,42876370,42876368,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
85,249,256,b,,True,184842373,184841874,42965808,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
