,SectionID,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,df,parallel,type,in_service,coords,FromNodeID,ToNodeID
176,43879491,,1551.0,1282.0,0.003,1.3306,0.09,0.006900129764882415,0.093,1.0,1.0,cs,True,"[(554309.838, 145626.645), (554309.312, 145628.81900000002)]",42786427,42699393
177,127130360,,1422.0,1267.0,0.003,2.1181,0.105,0.01382273259439772,0.065,1.0,1.0,cs,True,"[(554305.176, 145575.836), (554299.816, 145575.934)]",42692581,127130344
178,44008903,,2276.0,1018.0,0.062,0.4932,0.083,0.01888407013430177,0.209,1.0,1.0,cs,True,"[(554290.637533, 145638.476302), (554307.326, 145622.362)]",52105666,42792703
179,52105716,,3056.0,2282.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554286.0, 145634.0), (554287.885409, 145628.785214)]",42934203,52105714
180,43967979,,2032.0,812.0,0.072,0.4932,0.083,0.01888407013430177,0.209,1.0,1.0,cs,True,"[(554351.93702, 145529.040648), (554377.167, 145534.071)]",131738287,42789804
181,52931500,,3041.0,1996.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554306.0, 145544.0), (554306.126848, 145541.75357899998)]",42954709,52931498
182,43825021,,1780.0,875.0,0.003,0.4476,0.09,0.011258042236110585,0.15,1.0,1.0,cs,True,"[(554291.45, 145532.098), (554296.698, 145533.456)]",42773552,42704117
183,43876508,,1033.0,671.0,0.003,0.2238,0.086,0.009008600390099925,0.22,1.0,1.0,cs,True,"[(554331.839, 145566.807), (554328.837, 145569.608)]",42673993,42696306
184,43826521,,2288.0,1009.0,0.042,0.2633,0.078,0.013817932201067487,0.319,1.0,1.0,cs,True,"[(554291.5601649999, 145634.33524400002), (554310.815, 145591.49599999998)]",52105762,42672465
185,43966944,,1965.0,785.0,0.055,0.4932,0.083,0.01888407013430177,0.209,1.0,1.0,cs,True,"[(554328.250002, 146566.807617), (554278.081, 146576.24599999998)]",52937802,42694667
186,43905675,,1067.0,785.0,0.013,0.8409,0.094,0.012281421644563265,0.105,1.0,1.0,cs,True,"[(554277.7660000001, 146583.72699999998), (554278.081, 146576.24599999998)]",42790555,42694667
187,43966964,,521.0,2344.0,0.116,0.2633,0.078,0.013817932201067487,0.319,1.0,1.0,cs,True,"[(554144.124, 146674.973), (554189.6209229999, 146610.720098)]",137939855,52937858
