[GENERAL]
DATE=March 15, 2017 at 16:18:13
CYME_VERSION=7.20
CYMDIST_REVISION=05

[SI]

[CABLE]
FORMAT_CABLE=ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,RatedLevel,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Manufacturer,Standard,CableType,NumberOfGroundingConductors,ArmorOuterDiameter,OverallDiameter,ConcentricNeutralBeforeSheath,UserDefinedImpedances,Frequency,Temperature,ImpedancesNote,Favorite,Flags,Comments
M-GKT-Y-150,0.156000,0.156000,0.113000,0.113000,101.736000,101.736000,376.000000,376.000000,376.000000,414.000000,414.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-XKN-K-6,3.563900,0.000000,0.112000,0.000000,172.790000,0.000000,50.000000,50.000000,50.000000,50.000000,50.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-T-240-ALRM,0.144900,0.000000,0.075000,0.000000,816.510000,0.000000,300.000000,300.000000,300.000000,348.000000,348.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-GKT-F-150,0.159000,0.159000,0.113000,0.113000,101.736000,101.736000,376.000000,376.000000,376.000000,414.000000,414.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-BT-3X240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,3,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-T-3X240-AL,0.048300,0.048300,0.025000,0.025000,2449.530000,2449.530000,765.000000,765.000000,765.000000,887.000000,887.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,3,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-GKT-F-95-10KV,0.246000,0.246000,0.119000,0.119000,84.780000,84.780000,299.000000,299.000000,299.000000,329.000000,329.000000,300.000000,,,,,,10.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-T-2X95-AL,0.185600,0.000000,0.040000,0.000000,1413.370000,0.000000,315.000000,315.000000,315.000000,365.000000,365.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,2,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-XKN-K-150,0.263300,0.000000,0.078000,0.000000,230.360000,0.000000,290.000000,290.000000,290.000000,319.000000,319.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-XKDT-YT-150,0.156000,0.156000,0.108000,0.108000,94.248000,94.248000,376.000000,376.000000,376.000000,414.000000,414.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-X-16,1.466200,0.000000,0.090000,0.000000,137.500000,0.000000,100.000000,100.000000,100.000000,110.000000,110.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-PPB-TF-2X150,0.063000,0.063000,0.083000,0.083000,122.522100,122.522100,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,2,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-T-185+95,0.114200,0.000000,0.080000,0.000000,768.380000,0.000000,310.000000,310.000000,310.000000,360.000000,360.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-XKT-T-150,0.159000,0.159000,0.113000,0.113000,94.200000,94.200000,376.000000,376.000000,376.000000,414.000000,414.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-XKDT-F-150,0.156000,0.156000,0.108000,0.108000,94.200000,94.200000,376.000000,376.000000,376.000000,414.000000,414.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-TT-70+50,0.309900,0.000000,0.087000,0.000000,296.990000,0.000000,180.000000,180.000000,180.000000,180.000000,180.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-PPB-T-95-10 KV,0.224000,0.224000,0.216000,0.216000,94.200000,94.200000,210.000000,210.000000,210.000000,210.000000,210.000000,300.000000,,,,,,10.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-GKT-FF-240-20KV,0.095000,0.095000,0.105000,0.105000,125.538000,125.538000,487.000000,487.000000,487.000000,536.000000,536.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-T-1X4X185+1X3X185,0.057100,0.000000,0.040000,0.000000,1536.760000,0.000000,558.000000,558.000000,558.000000,647.000000,647.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,2,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-P-2#$%#5,8.522200,0.000000,0.106000,0.000000,315.950000,0.000000,30.000000,30.000000,30.000000,35.000000,35.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-GKT-F-120-10KV,0.195000,0.195000,0.116000,0.116000,95.002000,95.002000,334.000000,334.000000,334.000000,367.000000,367.000000,300.000000,,,,,,10.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-XKT-FF-95,0.246000,0.246000,0.119000,0.119000,78.500000,78.500000,299.000000,299.000000,299.000000,329.000000,329.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-NMP-95-AD,0.371100,0.515000,0.382600,1.555000,3.016000,1.300000,380.000000,380.000000,380.000000,380.000000,380.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-G-95,0.246000,0.246000,0.119000,0.119000,84.780000,84.780000,299.000000,299.000000,299.000000,329.000000,329.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
